BarIndex,Time,MacroState,ActiveDirection,SequencePhase,SequenceAuthority,MaturityLevel,DominanceScore,DegradationScore,BalanceScore,TransitionScore,AmbiguityScore,SFCStatus,ExpectedNextBehavior,InvalidationCondition
17,"2026-05-13 16:30:00","Unresolved","Up","TwoR",0.900,"Resolved",0.836,0.871,0.853,0.281,0.879,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
18,"2026-05-13 16:35:00","Unresolved","Up","TwoR",0.900,"Resolved",0.899,0.801,0.784,0.259,0.808,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
19,"2026-05-13 16:40:00","Unresolved","Up","TwoR",0.900,"Resolved",0.927,0.787,0.872,0.238,0.844,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
20,"2026-05-13 16:45:00","Unresolved","Up","TwoR",0.900,"Resolved",0.983,0.724,0.802,0.219,0.776,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
21,"2026-05-13 16:50:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.666,0.738,0.201,0.714,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
22,"2026-05-13 16:55:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.613,0.679,0.185,0.657,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
23,"2026-05-13 17:00:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.614,0.774,0.170,0.704,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
24,"2026-05-13 17:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.565,0.712,0.157,0.648,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
25,"2026-05-13 17:10:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.570,0.805,0.144,0.696,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
26,"2026-05-13 17:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.524,0.741,0.133,0.640,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
27,"2026-05-13 17:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.482,0.682,0.122,0.589,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
28,"2026-05-13 17:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.494,0.777,0.112,0.642,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
29,"2026-05-13 17:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.454,0.715,0.103,0.591,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
30,"2026-05-13 17:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.418,0.658,0.095,0.543,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
31,"2026-05-13 17:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.434,0.755,0.087,0.600,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
32,"2026-05-13 17:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.400,0.695,0.080,0.552,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
33,"2026-05-13 17:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.368,0.639,0.074,0.508,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
34,"2026-05-13 17:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.538,0.688,0.118,0.567,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
35,"2026-05-13 18:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.495,0.633,0.109,0.522,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
36,"2026-05-13 18:05:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.456,0.582,0.100,0.480,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
37,"2026-05-13 18:10:00","Unresolved","Up","TwoR",0.900,"Resolved",0.840,0.879,0.836,0.222,0.792,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
38,"2026-05-13 18:15:00","Unresolved","Up","TwoR",0.900,"Resolved",0.873,0.859,0.919,0.204,0.828,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
39,"2026-05-13 18:20:00","Unresolved","Up","TwoR",0.900,"Resolved",0.933,0.790,0.845,0.188,0.762,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
40,"2026-05-13 18:25:00","Unresolved","Up","TwoR",0.900,"Resolved",0.958,0.777,0.928,0.173,0.801,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
41,"2026-05-13 18:30:00","Unresolved","Up","TwoR",0.900,"Resolved",0.982,0.765,1.000,0.159,0.837,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
42,"2026-05-13 18:35:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.704,0.920,0.146,0.770,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
43,"2026-05-13 18:40:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.647,0.846,0.135,0.708,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
44,"2026-05-13 18:45:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.595,0.779,0.124,0.652,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
45,"2026-05-13 18:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.548,0.716,0.114,0.600,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
46,"2026-05-13 18:55:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.554,0.809,0.105,0.652,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
47,"2026-05-13 19:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.510,0.744,0.096,0.600,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
48,"2026-05-13 19:05:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.519,0.835,0.089,0.652,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
49,"2026-05-13 19:10:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.527,0.918,0.082,0.699,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
50,"2026-05-13 19:15:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.535,0.995,0.075,0.743,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
51,"2026-05-13 19:20:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.492,0.915,0.069,0.684,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
52,"2026-05-13 19:25:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.503,0.992,0.064,0.729,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
53,"2026-05-13 19:30:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.513,1.000,0.058,0.771,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
54,"2026-05-13 19:35:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.522,1.000,0.054,0.809,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
55,"2026-05-13 19:40:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.530,1.000,0.049,0.845,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
56,"2026-05-13 19:45:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.488,0.920,0.046,0.777,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
57,"2026-05-13 19:50:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.449,0.846,0.042,0.715,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
58,"2026-05-13 19:55:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.463,0.929,0.039,0.758,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
59,"2026-05-13 20:00:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.476,1.000,0.035,0.797,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
60,"2026-05-13 20:05:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.438,0.920,0.033,0.733,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
61,"2026-05-13 20:10:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.453,0.996,0.030,0.775,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
62,"2026-05-13 20:15:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.416,0.917,0.028,0.713,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
63,"2026-05-13 20:20:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.383,0.843,0.025,0.656,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
64,"2026-05-13 20:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.352,0.776,0.023,0.603,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
65,"2026-05-13 20:30:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.374,0.864,0.021,0.655,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
66,"2026-05-13 20:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.344,0.795,0.020,0.603,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
67,"2026-05-13 20:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.317,0.731,0.018,0.554,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
68,"2026-05-13 20:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.341,0.823,0.017,0.610,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
69,"2026-05-13 20:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.314,0.757,0.015,0.561,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
70,"2026-05-13 20:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.339,0.846,0.014,0.616,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
71,"2026-05-13 21:00:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.312,0.779,0.013,0.567,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
72,"2026-05-13 21:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.337,0.866,0.012,0.622,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
73,"2026-05-13 21:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.310,0.797,0.011,0.572,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
74,"2026-05-13 21:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.285,0.733,0.010,0.526,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
75,"2026-05-13 21:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.312,0.825,0.009,0.584,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
76,"2026-05-13 21:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.287,0.759,0.009,0.537,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
77,"2026-05-13 21:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.264,0.698,0.008,0.494,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
78,"2026-05-13 21:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.243,0.642,0.007,0.455,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
79,"2026-05-13 21:40:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.224,0.591,0.007,0.418,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
80,"2026-05-13 21:45:00","Balance","Up","TwoR",0.900,"Resolved",0.870,0.616,0.693,0.136,0.635,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
81,"2026-05-13 21:50:00","Balance","Up","TwoR",0.900,"Resolved",0.930,0.567,0.638,0.125,0.584,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
82,"2026-05-13 21:55:00","Balance","Up","TwoR",0.900,"Resolved",0.956,0.571,0.737,0.115,0.637,"Candidate","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
83,"2026-05-13 22:00:00","Unresolved","Up","TwoR",0.900,"Resolved",0.979,0.576,0.828,0.106,0.686,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
84,"2026-05-13 22:05:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.580,0.912,0.098,0.732,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
85,"2026-05-13 22:10:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.583,0.989,0.090,0.773,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
86,"2026-05-13 22:15:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.537,0.910,0.083,0.711,"Candidate","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
87,"2026-05-13 22:20:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.494,0.837,0.076,0.654,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
88,"2026-05-13 22:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.454,0.770,0.070,0.602,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
89,"2026-05-13 22:30:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.468,0.858,0.064,0.654,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
90,"2026-05-13 22:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.430,0.790,0.059,0.601,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
91,"2026-05-13 22:40:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.446,0.877,0.054,0.653,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
92,"2026-05-13 22:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.410,0.806,0.050,0.601,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
93,"2026-05-13 22:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.377,0.742,0.046,0.553,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
94,"2026-05-13 22:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.397,0.833,0.042,0.609,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
95,"2026-05-13 23:00:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.415,0.916,0.039,0.660,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
96,"2026-05-13 23:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.382,0.843,0.036,0.607,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
97,"2026-05-13 23:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.352,0.775,0.033,0.559,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
98,"2026-05-13 23:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.324,0.713,0.030,0.514,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
99,"2026-05-13 23:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.348,0.806,0.028,0.573,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
100,"2026-05-13 23:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.320,0.742,0.026,0.527,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
101,"2026-05-13 23:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.344,0.832,0.024,0.585,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
102,"2026-05-13 23:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.367,0.916,0.022,0.638,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
103,"2026-05-13 23:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.337,0.842,0.020,0.587,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
104,"2026-05-13 23:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.360,0.925,0.018,0.640,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
105,"2026-05-13 23:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.332,0.851,0.017,0.589,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
106,"2026-05-13 23:55:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.355,0.933,0.016,0.642,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
107,"2026-05-14 00:00:00","Unresolved","Up","TwoR",0.900,"Resolved",1.000,0.377,1.000,0.014,0.690,"None","Auction unresolved. Ambiguity high. Avoid strong directional inference.","Resolved by accepted breakout, failed transition, or clear dominance reassertion."
108,"2026-05-14 00:05:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.346,0.920,0.013,0.635,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
109,"2026-05-14 00:10:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.319,0.846,0.012,0.584,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
110,"2026-05-14 00:15:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.343,0.929,0.011,0.638,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
111,"2026-05-14 00:20:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.316,0.854,0.010,0.587,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
112,"2026-05-14 00:25:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.341,0.936,0.009,0.640,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
113,"2026-05-14 00:30:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.313,0.861,0.009,0.589,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
114,"2026-05-14 00:35:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.288,0.792,0.008,0.541,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
115,"2026-05-14 00:40:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.265,0.729,0.007,0.498,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
116,"2026-05-14 00:45:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.244,0.671,0.007,0.458,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
117,"2026-05-14 00:50:00","Balance","Up","TwoR",0.900,"Resolved",1.000,0.224,0.617,0.006,0.422,"None","Balance/lateral behavior active. Directional inference unreliable until accepted breakout.","Invalidated by accepted breakout followed by efficient continuation."
118,"2026-05-14 00:55:00","Directional","Up","TwoR",0.900,"Resolved",1.000,0.206,0.568,0.006,0.388,"None","Continuation or shallow non-dominant retrace expected.","Invalidated by failed continuation, rising overlap, or opposing authority."
